NTY,Africa/Johannesburg
CVN,America/Denver
CVS,America/Denver
SCM,America/Nome
KPI,Asia/Kuching
EGV,America/Chicago
NLF,Australia/Brisbane
YBX,America/Blanc-Sablon
UDJ,Europe/Uzhgorod
ANS,America/Lima
RAC,America/Mexico_City
OKO,Asia/Tokyo
NRT,Asia/Tokyo
HND,Asia/Tokyo
TYQ,Asia/Tokyo
LMJ,Asia/Tokyo
RYK,Asia/Karachi
CPB,America/Bogota
CLL,America/Chicago
OOM,Australia/Sydney
VNS,Asia/Kolkata
MRD,America/Caracas
ZOS,America/Santiago
AVI,America/Havana
PGK,Asia/Jakarta
LMP,Europe/Rome
LBX,Asia/Manila
VIU,Pacific/Guadalcanal
KSY,Europe/Istanbul
POG,Africa/Libreville
BAV,Asia/Chongqing
UTN,Africa/Johannesburg
WUN,Australia/Perth
YDA,America/Whitehorse
DND,Europe/London
WWT,America/Nome
SIZ,Pacific/Port_Moresby
KUT,Asia/Tbilisi
TBF,Pacific/Tarawa
BMV,Asia/Ho_Chi_Minh
PEI,America/Bogota
AXK,Asia/Aden
CUG,Australia/Sydney
OAG,Australia/Sydney
DMK,Asia/Bangkok
BKK,Asia/Bangkok
ITB,America/Santarem
BOW,America/New_York
NYK,Africa/Nairobi
BXB,Asia/Jayapura
LBJ,Asia/Makassar
PME,Europe/London
TDR,Australia/Brisbane
KLV,Europe/Prague
LMM,America/Mazatlan
MXX,Europe/Stockholm
KED,Africa/Nouakchott
HOW,America/Panama
TET,Africa/Maputo
YSO,America/Goose_Bay
THR,Asia/Tehran
IKA,Asia/Tehran
VGD,Europe/Moscow
ВГЖ,Europe/Moscow
IFL,Australia/Brisbane
UKT,America/New_York
MZB,Africa/Maputo
CTB,America/Denver
LSQ,America/Santiago
LSH,Asia/Rangoon
RSH,America/Anchorage
MZR,Asia/Kabul
MSO,America/Denver
BGX,America/Sao_Paulo
XFN,Asia/Shanghai
KJP,Asia/Tokyo
AOH,America/New_York
SWO,America/Chicago
GEV,Europe/Stockholm
DSC,Africa/Douala
GVR,America/Sao_Paulo
PKV,Europe/Moscow
ПСЖ,Europe/Moscow
BRN,Europe/Zurich
ZDJ,Europe/Zurich
AER,Europe/Moscow
SHB,Asia/Tokyo
BJH,Asia/Kathmandu
SCL,America/Santiago
ULC,America/Santiago
PUC,America/Denver
BDE,America/Chicago
STD,America/Caracas
AXR,Pacific/Tahiti
BXK,America/Phoenix
RBN,America/New_York
BND,Asia/Tehran
ISC,Europe/London
TSO,Europe/London
YYF,America/Vancouver
JPR,America/Porto_Velho
ABE,America/New_York
CKH,Asia/Magadan
SVH,America/New_York
FIZ,Australia/Perth
MAR,America/Caracas
KAU,Europe/Helsinki
YDP,America/Goose_Bay
WTL,America/Anchorage
PKE,Australia/Sydney
KLU,Europe/Vienna
KGV,Europe/Vienna
PBU,Asia/Rangoon
PIM,America/New_York
ADS,America/Chicago
DAL,America/Chicago
DFW,America/Chicago
DNE,America/Chicago
ERV,America/Chicago
YEL,America/Toronto
SWK,Europe/Rome
MXP,Europe/Rome
LIN,Europe/Rome
BGY,Europe/Rome
PMF,Europe/Rome
XIK,Europe/Rome
IPR,Europe/Rome
IMR,Europe/Rome
BEP,Asia/Kolkata
KIW,Africa/Lusaka
PNA,Europe/Madrid
EEP,Europe/Madrid
INO,Africa/Kinshasa
SSX,Europe/Istanbul
SZF,Europe/Istanbul
ERH,Africa/Casablanca
RLG,Europe/Berlin
KPN,America/Nome
KBZ,Pacific/Auckland
BRI,Europe/Rome
WTO,Pacific/Wake
MHB,Pacific/Auckland
AKL,Pacific/Auckland
SLX,America/Grand_Turk
TTJ,Asia/Tokyo
DOH,Asia/Qatar
XOZ,Asia/Qatar
XJD,Asia/Qatar
DIA,Asia/Qatar
EIL,America/Anchorage
FBK,America/Anchorage
FAI,America/Anchorage
MIJ,Pacific/Majuro
AOJ,Asia/Tokyo
RNO,America/Los_Angeles
WEH,Asia/Shanghai
YIH,Asia/Shanghai
CGR,America/Campo_Grande
NMG,America/Panama
WMD,Indian/Antananarivo
BIO,Europe/Madrid
YJI,Europe/Madrid
BFB,Europe/Madrid
RJK,Europe/Zagreb
PPC,America/Anchorage
XMU,Europe/Paris
MEH,Europe/Oslo
YSM,America/Yellowknife
CLY,Europe/Paris
SLI,Africa/Lusaka
MRB,America/New_York
LAF,America/Indiana/Indianapolis
YGX,America/Winnipeg
TLH,America/New_York
LGZ,America/Bogota
UUA,Europe/Moscow
GWY,Europe/Dublin
SNV,America/Caracas
AAX,America/Sao_Paulo
BKH,Pacific/Honolulu
GAJ,Asia/Tokyo
NCS,Africa/Johannesburg
MFN,Pacific/Auckland
BXN,Europe/Istanbul
BJV,Europe/Istanbul
MSN,America/Chicago
PKW,Africa/Gaborone
LUW,Asia/Makassar
DNV,America/Chicago
LKY,Africa/Dar_es_Salaam
CUA,America/Mazatlan
BAM,America/Los_Angeles
IVA,Indian/Antananarivo
KUG,Australia/Brisbane
ZMA,Europe/London
TIR,Asia/Kolkata
EDI,Europe/London
ZXE,Europe/London
YPS,America/Halifax
MAU,Pacific/Tahiti
JHQ,Australia/Brisbane
KOT,America/Nome
YTX,America/Vancouver
YFX,America/St_Johns
TUF,Europe/Paris
XSH,Europe/Paris
UKU,Asia/Vladivostok
SCX,America/Mexico_City
BCO,Africa/Addis_Ababa
MKY,Australia/Brisbane
IBZ,Europe/Madrid
LOF,Pacific/Majuro
VDB,Europe/Oslo
RGA,America/Argentina/Ushuaia
IRP,Africa/Lubumbashi
BXH,Asia/Qyzylorda
NFO,Pacific/Tongatapu
DWB,Indian/Antananarivo
HSL,America/Anchorage
PPS,Asia/Manila
HEI,Europe/Berlin
BNJ,Europe/Berlin
QKL,Europe/Berlin
CGN,Europe/Berlin
QKU,Europe/Berlin
QBB,Europe/Berlin
MOL,Europe/Oslo
KIM,Africa/Johannesburg
SGA,Asia/Kabul
AFY,Europe/Istanbul
UAS,Africa/Nairobi
FRP,America/Anchorage
LEY,Europe/Amsterdam
RVD,America/Sao_Paulo
FLD,America/Chicago
YYW,America/Toronto
ROO,America/Cuiaba
KKN,Europe/Oslo
UVO,Pacific/Port_Moresby
COS,America/Denver
FCS,America/Denver
VOH,Indian/Antananarivo
DIY,Europe/Istanbul
ULE,Asia/Vladivostok
TXF,America/Fortaleza
EMK,America/Nome
PWE,Asia/Anadyr
MZI,Africa/Bamako
HTY,Europe/Istanbul
MAZ,America/Puerto_Rico
LOM,America/Mexico_City
MXS,Pacific/Apia
OIR,Asia/Tokyo
TGJ,Pacific/Noumea
CRL,Europe/Brussels
BRU,Europe/Brussels
ZYR,Europe/Brussels
TTH,Asia/Muscat
DMS,Asia/Riyadh
DMM,Asia/Riyadh
TIV,Europe/Podgorica
TKN,Asia/Tokyo
TZN,America/Panama
UOL,Asia/Makassar
IXP,Asia/Kolkata
IAS,Europe/Bucharest
MKW,Asia/Jayapura
KUV,Asia/Seoul
MUO,America/Boise
DAU,Pacific/Port_Moresby
TTS,Indian/Antananarivo
DAY,America/New_York
FFO,America/New_York
RHI,America/Chicago
RMF,Africa/Cairo
ARW,Europe/Bucharest
TAR,Europe/Rome
GUL,Australia/Sydney
SHI,Asia/Tokyo
PGA,America/Denver
ERI,America/New_York
TYD,Asia/Yakutsk
AGH,Europe/Stockholm
JHE,Europe/Stockholm
UIN,America/Chicago
TGG,Asia/Kuala_Lumpur
ELE,America/Panama
GMI,Asia/Vladivostok
SUB,Asia/Jakarta
DHX,Asia/Jakarta
SBH,America/St_Barthelemy
MUQ,Australia/Perth
ZLO,America/Mexico_City
AMH,Africa/Addis_Ababa
ALF,Europe/Oslo
AWB,Asia/Vladivostok
ISW,America/Chicago
LWY,Asia/Kuching
HVN,America/New_York
ZVE,America/New_York
POL,Africa/Maputo
SPI,America/Chicago
YJT,America/St_Johns
KCM,Europe/Istanbul
LCH,America/Chicago
KUK,America/Nome
DHT,America/Chicago
YOG,America/Toronto
HZL,America/New_York
KRN,Europe/Stockholm
AGX,Asia/Kolkata
KKU,America/Anchorage
PKR,Asia/Kathmandu
PSC,America/Los_Angeles
TLE,Indian/Antananarivo
MKL,America/Chicago
HAA,Europe/Oslo
UKY,Asia/Tokyo
PCP,Africa/Sao_Tome
UNG,Pacific/Port_Moresby
BAL,Europe/Istanbul
TAK,Asia/Tokyo
GUM,Pacific/Guam
UAM,Pacific/Guam
BVS,America/Belem
BBJ,Europe/Berlin
HOD,Asia/Aden
SQQ,Europe/Vilnius
KDA,Africa/Dakar
URO,Europe/Paris
CHX,America/Panama
VGA,Asia/Kolkata
MDZ,America/Argentina/Mendoza
SOG,Europe/Oslo
CQD,Asia/Tehran
ZRJ,America/Winnipeg
FUN,Pacific/Funafuti
MCP,America/Belem
SOD,America/Sao_Paulo
MOO,Australia/Adelaide
HVB,Australia/Brisbane
BTV,America/New_York
LGN,Asia/Vladivostok
NKC,Africa/Nouakchott
KPV,America/Anchorage
HYN,Asia/Shanghai
RYB,Europe/Moscow
BFS,Europe/London
BHD,Europe/London
RUH,Asia/Riyadh
OTH,America/Los_Angeles
KFG,Australia/Darwin
EDW,America/Los_Angeles
BIL,America/Denver
DYR,Asia/Anadyr
SBW,Asia/Kuching
TPJ,Asia/Kathmandu
BNU,America/Sao_Paulo
TCU,Africa/Johannesburg
TCN,America/Mexico_City
AZD,Asia/Tehran
CMI,America/Chicago
KSO,Europe/Athens
ZWL,America/Regina
TUV,America/Caracas
KUQ,Pacific/Port_Moresby
MLA,Europe/Malta
IRC,America/Anchorage
BGI,America/Barbados
GHU,America/Argentina/Cordoba
IPA,Pacific/Efate
CJB,Asia/Kolkata
SXB,Europe/Paris
XER,Europe/Paris
XWG,Europe/Paris
ZLP,Europe/Zurich
ZRH,Europe/Zurich
ZEU,Europe/Berlin
SNO,Asia/Bangkok
WPR,America/Santiago
CDW,America/New_York
LGG,Europe/Brussels
XHN,Europe/Brussels
BZL,Asia/Dhaka
GRM,America/Detroit
FOC,Asia/Shanghai
IQM,Asia/Urumqi
NRK,Europe/Stockholm
XYK,Europe/Stockholm
ORJ,America/Boa_Vista
SUV,Pacific/Fiji
MPY,America/Cayenne
NAQ,America/Thule
HNH,America/Juneau
KUF,Europe/Samara
IAR,Europe/Moscow
LYI,Asia/Shanghai
EGS,Atlantic/Reykjavik
SXL,Europe/Dublin
BAG,Asia/Manila
CCF,Europe/Paris
HIO,America/Los_Angeles
HKG,Asia/Hong_Kong
HKM,Asia/Hong_Kong
FDD,Europe/Madrid
EAS,Europe/Madrid
PFQ,Asia/Tehran
YDI,America/Halifax
FEL,Europe/Berlin
RWI,America/New_York
CMD,Australia/Sydney
TSJ,Asia/Tokyo
SIA,Asia/Chongqing
GJT,America/Denver
ULO,Asia/Hovd
IMF,Asia/Kolkata
LQN,Asia/Kabul
PTD,America/Sitka
CNL,Europe/Copenhagen
YLJ,America/Regina
POW,Europe/Ljubljana
DSK,Asia/Karachi
MDK,Africa/Kinshasa
LWO,Europe/Kiev
PQI,America/New_York
LTK,Asia/Damascus
HYL,America/Anchorage
TVS,Asia/Shanghai
HMV,Europe/Stockholm
TNQ,Pacific/Kiritimati
SUH,Asia/Muscat
AJI,Europe/Istanbul
HIR,Pacific/Guadalcanal
CZN,America/Anchorage
YVM,America/Pangnirtung
CDP,Asia/Kolkata
SDC,America/Guyana
NQN,America/Argentina/Salta
HPA,Pacific/Tongatapu
CMP,America/Belem
CCM,America/Sao_Paulo
MUH,Africa/Cairo
SLH,Pacific/Efate
BYN,Asia/Ulaanbaatar
NIP,America/New_York
JAX,America/New_York
VQQ,America/New_York
KAL,America/Anchorage
CRP,America/Chicago
KLC,Africa/Dakar
TRD,Europe/Oslo
YVB,America/Montreal
LZO,Asia/Chongqing
TGM,Europe/Bucharest
KNH,Asia/Taipei
SMI,Europe/Athens
GDT,America/Grand_Turk
FLF,Europe/Berlin
MFI,America/Chicago
DOL,Europe/Paris
ASH,America/New_York
TSF,Europe/Rome
VCE,Europe/Rome
XVQ,Europe/Rome
XVY,Europe/Rome
IPL,America/Los_Angeles
NJK,America/Los_Angeles
DRO,America/Denver
SKK,America/Anchorage
AMY,Africa/Juba
ALP,Asia/Damascus
TER,Atlantic/Azores
HAP,Asia/Vladivostok
PWQ,Asia/Qyzylorda
FRI,America/Chicago
SBK,Europe/Paris
OBU,America/Anchorage
CIP,Africa/Lusaka
CSC,America/Costa_Rica
UIK,Asia/Irkutsk
AKS,Pacific/Guadalcanal
ZGU,Pacific/Efate
PNZ,America/Recife
BES,Europe/Paris
CIS,Pacific/Enderbury
MMI,America/New_York
LMO,Europe/London
KYD,Asia/Taipei
QXG,America/Chicago
ANE,America/Chicago
VNX,Africa/Maputo
BMK,Europe/Berlin
WAE,Asia/Riyadh
RIX,Europe/Riga
CEE,Europe/Moscow
SYO,Asia/Tokyo
ZAJ,Asia/Kabul
OSZ,Europe/Warsaw
CCV,Pacific/Efate
CHG,Asia/Shanghai
HRO,America/Chicago
RDZ,Europe/Paris
SDQ,America/Santo_Domingo
JBQ,America/Santo_Domingo
CUF,Europe/Rome
PQM,America/Mexico_City
PVC,America/New_York
USI,America/Guyana
CGM,Asia/Manila
GJL,Africa/Algiers
OSB,America/Montreal
MAF,America/Chicago
FDE,Europe/Oslo
SRE,America/La_Paz
DOU,America/Campo_Grande
EKI,America/Indiana/Indianapolis
NNY,Asia/Shanghai
SFN,America/Argentina/Cordoba
KAE,America/Sitka
LEW,America/New_York
YLE,America/Yellowknife
MHV,America/Los_Angeles
TEX,America/Denver
EDB,Africa/Khartoum
YOO,America/Toronto
RBV,Pacific/Guadalcanal
YEN,America/Regina
SPZ,America/Chicago
BDN,Asia/Karachi
EDA,America/Anchorage
WMP,Indian/Antananarivo
IDY,Europe/Paris
MSQ,Europe/Minsk
MHP,Europe/Minsk
